TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
SubjectCredits                                                                                                                   Head                                                                                                                             nvarchar                                                                                                                        
SubjectCredits                                                                                                                   HeadType                                                                                                                         nvarchar                                                                                                                        
SubjectCredits                                                                                                                   HeadOutOf                                                                                                                        nvarchar                                                                                                                        
SubjectCredits                                                                                                                   HeadPass                                                                                                                         nvarchar                                                                                                                        
SubjectCredits                                                                                                                   HeadResolution                                                                                                                   nvarchar                                                                                                                        
SubjectCredits                                                                                                                   HeadFormula                                                                                                                      nvarchar                                                                                                                        
SubjectCredits                                                                                                                   CreditsId                                                                                                                        uniqueidentifier                                                                                                                
SubjectCredits                                                                                                                   CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
SubjectCredits                                                                                                                   CreatedAt                                                                                                                        datetime2                                                                                                                       
SubjectCredits                                                                                                                   UpdatedAt                                                                                                                        datetime2                                                                                                                       
SubjectCredits                                                                                                                   IsDeleted                                                                                                                        bit                                                                                                                             
SubjectCredits                                                                                                                   DeletedAt                                                                                                                        datetime2                                                                                                                       
SubjectMaster                                                                                                                    SubjectId                                                                                                                        uniqueidentifier                                                                                                                
SubjectMaster                                                                                                                    SubjectCode                                                                                                                      nvarchar                                                                                                                        
SubjectMaster                                                                                                                    Name                                                                                                                             nvarchar                                                                                                                        
SubjectMaster                                                                                                                    SemId                                                                                                                            nvarchar                                                                                                                        
SubjectMaster                                                                                                                    SemName                                                                                                                          nvarchar                                                                                                                        
SubjectMaster                                                                                                                    Pattern                                                                                                                          nvarchar                                                                                                                        
SubjectMaster                                                                                                                    CourseId                                                                                                                         uniqueidentifier                                                                                                                
SubjectMaster                                                                                                                    CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
SubjectMaster                                                                                                                    CreatedAt                                                                                                                        datetime2                                                                                                                       
SubjectMaster                                                                                                                    UpdatedAt                                                                                                                        datetime2                                                                                                                       
SubjectMaster                                                                                                                    IsDeleted                                                                                                                        bit                                                                                                                             
SubjectMaster                                                                                                                    DeletedAt                                                                                                                        datetime2                                                                                                                       

(200 rows affected)
